id,opens_at,closes_at,place_id,day_of_week
1,06:30 AM,07:30 PM,1,Monday
2,06:30 AM,07:30 PM,1,Tuesday
3,06:30 AM,07:30 PM,1,Wednesday
4,06:30 AM,07:30 PM,1,Thursday
5,06:30 AM,07:30 PM,1,Friday
6,06:30 AM,07:30 PM,1,Saturday
7,06:30 AM,07:30 PM,1,Sunday
8,06:30 AM,07:30 PM,2,Monday
9,06:30 AM,07:30 PM,2,Tuesday
10,06:30 AM,07:30 PM,2,Wednesday
11,06:30 AM,07:30 PM,2,Thursday
12,06:30 AM,07:30 PM,2,Friday
13,06:30 AM,07:30 PM,2,Saturday
14,06:30 AM,07:30 PM,2,Sunday
15,06:30 AM,07:30 PM,3,Monday
16,06:30 AM,07:30 PM,3,Tuesday
17,06:30 AM,07:30 PM,3,Wednesday
18,06:30 AM,07:30 PM,3,Thursday
19,06:30 AM,07:30 PM,3,Friday
20,06:30 AM,07:30 PM,3,Saturday
21,06:30 AM,07:30 PM,3,Sunday
22,06:00 AM,07:00 PM,4,Monday
23,06:00 AM,07:00 PM,4,Tuesday
24,06:00 AM,07:00 PM,4,Wednesday
25,06:00 AM,07:00 PM,4,Thursday
26,06:00 AM,07:00 PM,4,Friday
27,06:00 AM,07:00 PM,4,Saturday
28,06:00 AM,07:00 PM,4,Sunday
29,08:00 AM,05:00 PM,5,Monday
30,08:00 AM,05:00 PM,5,Tuesday
31,08:00 AM,05:00 PM,5,Wednesday
32,08:00 AM,05:00 PM,5,Thursday
33,08:00 AM,05:00 PM,5,Friday
34,08:00 AM,05:00 PM,5,Saturday
35,08:00 AM,05:00 PM,5,Sunday
36,06:00 AM,08:30 PM,6,Monday
37,06:00 AM,08:30 PM,6,Tuesday
38,06:00 AM,08:30 PM,6,Wednesday
39,06:00 AM,08:30 PM,6,Thursday
40,06:00 AM,08:30 PM,6,Friday
41,06:00 AM,08:30 PM,6,Saturday
42,06:00 AM,08:30 PM,6,Sunday
43,05:00 AM,09:00 PM,7,Monday
44,05:00 AM,09:00 PM,7,Tuesday
45,05:00 AM,09:00 PM,7,Wednesday
46,05:00 AM,09:00 PM,7,Thursday
47,05:00 AM,09:00 PM,7,Friday
48,05:00 AM,09:00 PM,7,Saturday
49,05:00 AM,09:00 PM,7,Sunday
50,06:00 AM,08:00 PM,8,Monday
51,06:00 AM,08:00 PM,8,Tuesday
52,06:00 AM,08:00 PM,8,Wednesday
53,06:00 AM,08:00 PM,8,Thursday
54,06:00 AM,08:00 PM,8,Friday
55,06:00 AM,08:00 PM,8,Saturday
56,06:00 AM,08:00 PM,8,Sunday
57,08:00 AM,05:00 PM,9,Monday
58,08:00 AM,05:00 PM,9,Tuesday
59,08:00 AM,05:00 PM,9,Wednesday
60,08:00 AM,05:00 PM,9,Thursday
61,08:00 AM,05:00 PM,9,Friday
62,08:00 AM,05:00 PM,9,Saturday
63,08:00 AM,05:00 PM,9,Sunday
64,10:00 AM,05:00 PM,10,Tuesday
65,10:00 AM,05:00 PM,10,Wednesday
66,10:00 AM,05:00 PM,10,Thursday
67,10:00 AM,05:00 PM,10,Friday
68,10:00 AM,05:00 PM,10,Saturday
69,10:00 AM,05:00 PM,10,Sunday
70,06:00 AM,08:30 PM,11,Monday
71,06:00 AM,08:30 PM,11,Tuesday
72,06:00 AM,08:30 PM,11,Wednesday
73,06:00 AM,08:30 PM,11,Thursday
74,06:00 AM,08:30 PM,11,Friday
75,06:00 AM,08:30 PM,11,Saturday
76,06:00 AM,08:30 PM,11,Sunday
77,06:00 AM,08:30 PM,12,Monday
78,06:00 AM,08:30 PM,12,Tuesday
79,06:00 AM,08:30 PM,12,Wednesday
80,06:00 AM,08:30 PM,12,Thursday
81,06:00 AM,08:30 PM,12,Friday
82,06:00 AM,08:30 PM,12,Saturday
83,06:00 AM,08:30 PM,12,Sunday
84,06:00 AM,08:30 PM,13,Monday
85,06:00 AM,08:30 PM,13,Tuesday
86,06:00 AM,08:30 PM,13,Wednesday
87,06:00 AM,08:30 PM,13,Thursday
88,06:00 AM,08:30 PM,13,Friday
89,06:00 AM,08:30 PM,13,Saturday
90,06:00 AM,08:30 PM,13,Sunday
91,05:00 AM,09:00 PM,14,Monday
92,05:00 AM,09:00 PM,14,Tuesday
93,05:00 AM,09:00 PM,14,Wednesday
94,05:00 AM,09:00 PM,14,Thursday
95,05:00 AM,09:00 PM,14,Friday
96,05:00 AM,09:00 PM,14,Saturday
97,05:00 AM,09:00 PM,14,Sunday
98,08:00 AM,07:00 PM,15,Monday
99,08:00 AM,07:00 PM,15,Tuesday
100,08:00 AM,07:00 PM,15,Wednesday
101,08:00 AM,07:00 PM,15,Thursday
102,08:00 AM,07:00 PM,15,Friday
103,08:00 AM,07:00 PM,15,Saturday
104,08:00 AM,07:00 PM,15,Sunday
105,06:00 AM,06:00 PM,16,Monday
106,06:00 AM,06:00 PM,16,Tuesday
107,06:00 AM,06:00 PM,16,Wednesday
108,06:00 AM,06:00 PM,16,Thursday
109,06:00 AM,06:00 PM,16,Friday
110,06:00 AM,06:00 PM,16,Saturday
111,06:00 AM,06:00 PM,16,Sunday
112,06:00 AM,08:30 PM,17,Monday
113,06:00 AM,08:30 PM,17,Tuesday
114,06:00 AM,08:30 PM,17,Wednesday
115,06:00 AM,08:30 PM,17,Thursday
116,06:00 AM,08:30 PM,17,Friday
117,06:00 AM,08:30 PM,17,Saturday
118,06:00 AM,08:30 PM,17,Sunday
119,06:00 AM,08:30 PM,18,Monday
120,06:00 AM,08:30 PM,18,Tuesday
121,06:00 AM,08:30 PM,18,Wednesday
122,06:00 AM,08:30 PM,18,Thursday
123,06:00 AM,08:30 PM,18,Friday
124,06:00 AM,08:30 PM,18,Saturday
125,06:00 AM,08:30 PM,18,Sunday
126,06:00 AM,06:00 PM,19,Monday
127,06:00 AM,06:00 PM,19,Tuesday
128,06:00 AM,06:00 PM,19,Wednesday
129,06:00 AM,06:00 PM,19,Thursday
130,06:00 AM,06:00 PM,19,Friday
131,06:00 AM,06:00 PM,19,Saturday
132,06:00 AM,06:00 PM,19,Sunday
133,06:00 AM,08:30 PM,20,Monday
134,06:00 AM,08:30 PM,20,Tuesday
135,06:00 AM,08:30 PM,20,Wednesday
136,06:00 AM,08:30 PM,20,Thursday
137,06:00 AM,08:30 PM,20,Friday
138,06:00 AM,08:30 PM,20,Saturday
139,06:00 AM,08:30 PM,20,Sunday
140,06:00 AM,08:30 PM,21,Monday
141,06:00 AM,08:30 PM,21,Tuesday
142,06:00 AM,08:30 PM,21,Wednesday
143,06:00 AM,08:30 PM,21,Thursday
144,06:00 AM,08:30 PM,21,Friday
145,06:00 AM,08:30 PM,21,Saturday
146,06:00 AM,08:30 PM,21,Sunday
147,06:00 AM,08:30 PM,22,Monday
148,06:00 AM,08:30 PM,22,Tuesday
149,06:00 AM,08:30 PM,22,Wednesday
150,06:00 AM,08:30 PM,22,Thursday
151,06:00 AM,08:30 PM,22,Friday
152,06:00 AM,08:30 PM,22,Saturday
153,06:00 AM,08:30 PM,22,Sunday
